,,,,,,,,,
,HubnaFromAnothaMotha,Phil Mickelson,Tiger Woods,Rory McIlroy,Matt Kuchar,Patrick Reed,Rafael Cabrera Bello,Zach Johnson,Austin Cook
,The Dingleberries,Jordan Spieth,Tiger Woods,Justin Rose,Doc Redman,Matt Kuchar,Adam Scott,Jason Dufner,Danny Willett
,"Bombs, darts, and buckets",Rickie Fowler,Justin Thomas,Louis Oosthuizen,Zach Johnson,Jordan Spieth,Tony Finau,Charl Schwartzel,Angel Cabrera
,BHager,Tiger Woods,Dustin Johnson,Jordan Spieth,Patrick Reed,Adam Scott,Pat Perez,Xander Schauffele,Chez Reavie
,"Please Tiger, please....",Justin Rose,Bryson DeChambeau,Jordan Spieth,Charley Hoffman,Tony Finau,Tiger Woods,Patrick Reed,Brian Harman
,MikeDavis,Bubba Watson,Rory McIlroy,Rickie Fowler,Ian Poulter,Patrick Reed,Matt Kuchar,Louis Oosthuizen,Xander Schauffele
,Forgot About Day,Pat Perez,Bryson DeChambeau,Wesley Bryan,Jordan Spieth,Brian Harman,Kevin Chappell,Justin Thomas,Jason Day
,The Mechanic,Justin Thomas,Phil Mickelson,Adam Scott,Jason Day,Kevin Chappell,Brian Harman,Tony Finau,Charley Hoffman
,Wubba Lubba Dub Dub,Justin Rose,Justin Thomas,Tony Finau,Patrick Reed,Bubba Watson,Pat Perez,Bryson DeChambeau,Brian Harman
,DPWalsh,Angel Cabrera,Louis Oosthuizen,Jason Day,Doc Redman,Dustin Johnson,Jon Rahm,Patrick Reed,Charl Schwartzel
,Sponeill13,Dustin Johnson,Tiger Woods,Justin Thomas,Adam Scott,Patrick Reed,Matt Kuchar,Marc Leishman,Xander Schauffele
,team jose,Bubba Watson,Justin Rose,Phil Mickelson,Louis Oosthuizen,Brian Harman,Xander Schauffele,Patrick Reed,Bryson DeChambeau
,Top Shelf ,Tiger Woods,Dustin Johnson,Rory McIlroy,Tony Finau,Brendan Steele,Austin Cook,Matt Kuchar,Patrick Reed
,YOU NEED ME ON THAT WALL,Dustin Johnson,Jordan Spieth,Bubba Watson,Martin Kaymer,Gary Woodland,Marc Leishman,Louis Oosthuizen,Doc Redman
,team jose 2,Bubba Watson,Justin Rose,Rory McIlroy,Tyrrell Hatton,Tony Finau,Kiradech Aphibarnrat,Brian Harman,Zach Johnson
,Golf is Fun,Tiger Woods,Rory McIlroy,Rickie Fowler,Patton Kizzire,Patrick Reed,Ian Poulter,Jason Dufner,Thomas Pieters
,Oost Mode,Justin Rose,Phil Mickelson,Justin Thomas,Patrick Reed,Louis Oosthuizen,Matt Kuchar,Bryson DeChambeau,Xander Schauffele
,Sit Vonn My Face,Jordan Spieth,Rickie Fowler,Justin Rose,Brian Harman,Bryson DeChambeau,Kevin Chappell,Tony Finau,Patrick Reed
,The Drawshank Redemption,Jason Day,Adam Scott,Justin Rose,Hideki Matsuyama,Vijay Singh,Pat Perez,Louis Oosthuizen,Dylan Frittelli
,Team roast beef,Alex Noren,Tony Finau,Bryson DeChambeau,Kevin Kisner,Jason Day,Tiger Woods,Louis Oosthuizen,Patrick Reed
,Marx’s Masters,Bubba Watson,Rory McIlroy,Justin Thomas,Xander Schauffele,Matt Kuchar,Bryson DeChambeau,Patrick Reed,Kevin Kisner
,Zee's Angels 1,Rory McIlroy,Justin Thomas,Justin Rose,Xander Schauffele,Charley Hoffman,Matt Kuchar,Branden Grace,Patrick Reed
,Chenault,Paul Casey,Justin Rose,Jordan Spieth,Daniel Berger,Matt Kuchar,Ryan Moore,Adam Scott,Xander Schauffele
,Tin Cup Fan Club,Rory McIlroy,Dustin Johnson,Justin Rose,Tony Finau,Russell Henley,Matt Kuchar,Bryson DeChambeau,Ian Poulter
